ID,Jugador,MIN,FECHA,RIVAL,VAL,#¿NOMBRE?,Pt,AS,RT,PER,TC,TirInt,Ti%,3PC,3PI,3P%,2PC,2PI,2P%,TLC,TLI,TL%,RD,RO,REC,FP,Tap,POSICION,PESO,ALTURA
21,Player_01,34,26/04/2025,UMAD,19,3,23,1,6,5,8,18.6,50,3,7,42.9,5,9,55.6,4,6,66.7,5,1,1,3,0,GUARDIA,90,1.9
17,Player_02,2,26/04/2025,UMAD,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GUARDIA,85,1.9
11,Player_03,20,26/04/2025,UMAD,0,-5,2,2,3,2,1,8,12.5,0,3,0,1,5,20,0,0,0,3,0,1,1,0,MOVEDOR,70,1.8
34,Player_04,28,26/04/2025,UMAD,8,2,3,2,10,1,1,5.3,25,0,0,0,1,4,25,1,3,33.3,8,2,0,3,0,CENTRO,84,2.02
55,Player_05,0,26/04/2025,UMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRO,95,2.08
5,Player_06,9,26/04/2025,UMAD,7,-2,4,0,3,2,2,2,100,0,0,0,2,2,100,0,0,0,3,0,0,0,1,DELANTERO,95,1.95
1,Player_07,0,26/04/2025,UMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DELANTERO PEQUEÑO,90,1.92
3,Player_08,15,26/04/2025,UMAD,2,-4,4,0,3,1,2,5.9,40,0,1,0,2,4,50,0,2,0,3,0,0,1,1,GUARDIA,75,1.94
9,Player_09,28,26/04/2025,UMAD,16,6,11,2,9,0,5,10.9,50,0,1,0,5,9,55.6,1,2,50,3,6,3,3,0,CENTRO,103,1.98
47,Player_10,22,26/04/2025,UMAD,5,9,5,5,1,0,1,7.9,14.3,1,2,50,0,5,0,2,2,100,0,1,1,1,0,MOVEDOR,70,1.75
19,Player_11,0,26/04/2025,UMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUARDIA,90,1.92
27,Player_12,40,26/04/2025,UMAD,8,2,8,2,3,1,3,11.3,30,1,3,33.3,2,7,28.6,1,3,33.3,2,1,2,3,2,GUARDIA,90,1.96
21,Player_01,32,24/04/2025,TEC MTY,33,30,33,0,6,1,11,21.8,64.7,4,8,50,7,9,77.8,7,11,63.6,5,1,2,4,0,GUARDIA,90,1.9
17,Player_02,13,24/04/2025,TEC MTY,4,5,4,0,4,1,2,5.4,40,0,1,0,2,4,50,0,1,0,4,0,2,1,0,GUARDIA,85,1.9
11,Player_03,24,24/04/2025,TEC MTY,2,16,8,2,2,1,2,10.8,22.2,1,3,33.3,1,6,16.7,3,4,75,2,0,1,3,0,MOVEDOR,70,1.8
